cntry_name;cntry_iso3;ghi_2000;ghi_2008;ghi_2016;ghi_2025;pou_2000_2002;pou_2007_2009;pou_2015_2017;pou_2022_2024;wast_1998_2002;wast_1998_2002_est;wast_2006_2010;wast_2006_2010_est;wast_2014_2018;wast_2014_2018_est;wast_2020_2024;wast_2020_2024_est;stun_2000;stun_2008;stun_2016;stun_2024;mort_2000;mort_2008;mort_2016;mort_2023
Afghanistan;AFG;49.6;32.7;28;29;45.8;19.7;20.4;28.1;8.6;*;7.1;*;5.1;;3.6;;55.5;47.8;41.9;42;13.2;9.6;7;5.6
Albania;ALB;15.3;15.3;6.7;7;4.8;7.3;4.4;5.4;6.4;*;9.6;;1.6;;3.8;*;29.9;22.8;12.9;7.4;2.7;1.6;0.9;0.9
Algeria;DZA;14.1;10.8;8;7.1;7.3;5;2.6;< 2.5;3.1;;4.1;;3.8;*;3.7;*;22.4;15.1;10.4;8.9;4.2;3;2.4;2.2
Angola;AGO;63.8;35.3;25.7;29.7;67.8;24.4;15.2;22.5;8.9;*;8.2;;4.9;;5.1;*;47.5;31.7;36.3;47.7;20.3;13.7;8.4;6.4
Argentina;ARG;6.5;5.2;5.3;6.4;3;3.2;3.2;3.4;2.1;*;1.2;;1.9;*;2.7;;9.3;7.2;7.9;10.7;1.9;1.5;1.1;1
Armenia;ARM;20.3;10.8;6.7;<5;28.6;5.1;< 2.5;< 2.5;2.5;;4.1;;4.4;;3.2;*;17.1;18.7;10.6;6.2;3.1;2.1;1.4;1
Azerbaijan;AZE;25.2;14.1;8.1;5.6;17.8;< 2.5;< 2.5;< 2.5;9;;6.8;;3.8;*;3.5;;24.3;22.2;11.9;6.8;7.4;4.3;2.6;1.9
Bahrain;BHR;—;—;—;—;—;—;—;—;0.8;*;0.7;*;0.6;*;0.6;*;10.8;7.6;5.7;4.6;1.2;0.9;0.8;0.9
Bangladesh;BGD;34.6;32.5;24.4;19.2;15.5;16.9;14.4;10.4;12.5;;17.5;;12.8;;10.7;;54.9;44.4;32.8;25.1;8.5;5.4;3.7;3.1
Belarus;BLR;<5;<5;<5;<5;2.7;< 2.5;< 2.5;< 2.5;1.7;*;1.4;*;1.4;*;1.3;;5.4;3.5;1.8;1.1;1.3;0.7;0.4;0.2
Benin;BEN;32.2;25.5;23.8;25.9;14.3;8.2;9.7;14.3;9;;5.1;;4.8;;8.3;;34.8;35.6;33.7;33.2;13.6;11.3;9.5;7.8
Bhutan;BTN;—;—;—;—;—;—;—;—;2.6;;4.5;;3.5;*;5.1;;44.8;35.8;23.6;17.9;7.8;4.6;3;2.3
Bolivia (Plurinat. State of);BOL;27;20.9;14;14.6;26.6;23;14.9;21.8;1.6;;1.4;;2;;1.4;*;33;25.5;15.8;10.7;7.6;4.7;3;2.3
Bosnia & Herzegovina;BIH;9.5;6.1;5;<5;3.6;< 2.5;< 2.5;< 2.5;7.4;;4;;3.4;*;3.1;*;12.5;10.6;8.6;7.9;1;0.7;0.7;0.6
Botswana;BWA;29.9;27.2;22.5;21.8;28.1;26;20.9;24;5.9;;7.3;;6.6;*;5.4;*;30.3;27.8;22.7;21;8.1;6;4.9;4
Brazil;BRA;11.6;6.3;5.4;6.4;10.5;4;< 2.5;< 2.5;2.9;*;1.8;;2.3;*;3.4;;9.9;6.9;7.1;8.9;3.4;2.1;1.7;1.4
Bulgaria;BGR;8.6;8.1;7.3;<5;4.9;5.8;4.2;< 2.5;5.1;*;4.7;;5.9;;4.3;*;8.7;8.3;6.5;5.5;1.8;1.1;0.8;0.6
Burkina Faso;BFA;44.5;34.4;25.4;22.9;22.4;15.4;14;13.1;15.5;;11.3;;7.5;;9.8;;40.4;38;25.6;19.5;17.8;13.3;9.8;7.7
Burundi;BDI;—;—;—;—;—;—;—;—;8.1;;6;*;5.1;;7.8;;63;58.5;54;55.3;15.4;10.3;6.4;4.9
Cabo Verde;CPV;16.2;13.1;11.5;9.4;16.2;15;16.5;13.5;4;*;3;*;2.4;;2.5;*;15.9;10.6;6.8;5.3;3.6;2.8;1.8;1.2
Cambodia;KHM;39.8;24.7;17.7;14.9;19.7;12.1;6.8;5.2;17.1;;9.1;;9.7;;9.6;;50.6;40.8;27.7;22;10.6;5.1;3;2.3
Cameroon;CMR;36.8;26.9;20.4;17.1;24.2;7.3;5.4;4.8;7.3;;7.6;;5.2;;4;*;37.4;35.3;30.1;27.2;14.4;11.8;8.6;6.7
Central African Republic;CAF;46.8;41.9;36;33.4;35.9;29.4;26.7;29.8;10.4;;12.1;;6.3;;5.2;;43.2;42.1;39.5;38.9;16.6;13.6;12.6;9.2
Chad;TCD;49.6;43.8;38.5;34.8;34.4;24.7;26.1;32;13.9;;16.3;;13.2;;7.8;;42.2;40.3;34.8;31.5;18.4;15.5;12.6;10.1
Chile;CHL;<5;<5;<5;<5;2.9;3;3.3;2.5;0.5;;0.3;;0.3;;0.4;*;2.9;2.1;1.7;1.7;1.1;0.9;0.8;0.7
China;CHN;13.8;7.3;<5;<5;10;3.9;< 2.5;< 2.5;2.5;;2.6;;1.9;;1.6;*;20;10.4;6.1;4.5;3.7;1.8;1;0.6
Colombia;COL;10.7;10.3;7.1;6.1;8.6;11.1;4.4;3.9;1;;0.9;;1.6;;1;*;17.4;14.1;12.1;11.6;2.5;2;1.5;1.2
Comoros;COM;35.7;25.7;20.5;17.2;24.7;15.4;13.5;15.4;13.3;;8.4;*;7.7;*;5.1;;43.8;38;25.5;17.4;8;5.9;4.8;4
Congo (Republic of);COG;35.1;32.2;26.6;22.6;26.3;34.9;29.6;26.4;9.6;*;8;*;8.2;;6.9;*;33.6;27.8;20.3;16.3;11.4;6.9;5.1;4.1
Costa Rica;CRI;5.9;<5;<5;<5;4.6;3;< 2.5;< 2.5;1.8;*;0.7;;1.8;;1;*;7.1;6.3;7.7;10.6;1.3;1.1;0.9;1
Côte d'Ivoire;CIV;32.8;33.2;22.3;20.4;18.9;17.5;11.5;11.1;6.9;;14.3;;6.1;;8.1;;32.4;31.5;25.6;20.3;14.1;10.9;8.4;6.7
Croatia;HRV;7.1;<5;<5;<5;10.6;< 2.5;< 2.5;< 2.5;1.1;*;1;*;1;*;0.9;*;5.4;3.6;3.4;2.7;0.8;0.6;0.5;0.5
Dem. Rep. of the Congo;COD;46.1;39.5;36.4;37.5;26.8;27.7;32.3;38.5;15.9;;10.4;;7.3;;7.2;;46;44.5;42.5;44.1;15.9;12.2;9.2;7.3
Djibouti;DJI;44.8;32.8;24.6;21.9;40.8;20.2;12.7;12.9;19.4;;17;;13.1;*;12.1;;31.8;30.8;25.1;20.9;9.9;8;6.3;5
Dominican Republic;DOM;15.2;12.8;8.6;6.4;19.7;14.7;6.7;3.6;1.5;;2.3;;1.4;*;1.1;*;10.1;8.6;7.4;5.6;4;3.5;3.5;3.1
Ecuador;ECU;19.1;14.6;11.3;10.9;20;11.1;9.5;12.1;2.7;;2.1;;1.6;;0.7;;27.2;28.6;21.1;17.7;3;2.1;1.5;1.3
Egypt;EGY;16.4;15.5;14.5;10.5;4.8;5;6.6;9.4;6.9;;7.9;;9.5;;3.3;;25.9;25.5;18.1;12.9;4.7;3.1;2.2;1.8
El Salvador;SLV;13.6;11.6;8.9;7.6;6.9;9.7;8.4;6.7;1.5;;1.6;;2.1;;2.9;;28.7;19.9;12.3;9.4;3.2;2;1.4;1
Equatorial Guinea;GNQ;—;—;—;—;—;—;—;—;9.2;;—;;—;;—;;38.3;30;21.3;17.1;15.6;11.9;9;7.1
Eritrea;ERI;—;—;—;—;—;—;—;—;15;;14.6;;—;;—;;43.4;50.1;51.2;48;8.5;5.9;4.5;3.5
Estonia;EST;<5;<5;<5;<5;3.6;< 2.5;< 2.5;< 2.5;1.6;*;1.4;*;1.5;;1.6;*;2.1;1.5;1.3;1.3;1.1;0.5;0.3;0.2
Eswatini;SWZ;23.9;25.8;18.9;15.9;9.8;19.6;16.3;14.7;1.7;;1.1;;2;;1.8;;35.7;32.1;24.1;18.9;10.9;9.8;5.5;4.5
Ethiopia;ETH;53;37.5;26.1;24.4;46.1;26.3;13;19.7;12.4;;11.6;*;10;;6;*;56.9;47.5;38.8;35.5;14;9.2;6.2;4.6
Fiji;FJI;9.2;10.2;10.6;9.9;3.6;6.2;7.5;6.8;7.4;*;6.7;*;7;;4.6;;6;7.3;6.6;7.2;2.3;2.3;2.2;2.9
Gabon;GAB;19.8;18.4;16.1;18.8;10.6;14.3;15.3;25.3;4.2;;3.5;*;3.5;*;3.4;;25.5;21;15.5;13.7;7.4;5.8;4.2;3.3
Gambia;GMB;29.5;23.3;18.8;17.3;16.9;12;12.8;16.8;9.1;;8.4;;6.1;;5.1;;27.7;25.4;19.5;14;11.3;8;5.7;4.4
Georgia;GEO;11.8;8;5.7;<5;6.6;6.7;6.6;< 2.5;3.1;;1.3;;0.6;;0.6;*;16.2;12.1;7;4.7;3.6;1.7;1;0.9
Ghana;GHA;29;21.5;16.5;13.1;14.8;8.1;9.5;6.3;9.9;;8.7;;5.8;;5.8;;32.8;26.7;19.2;15.6;10;7.3;5;3.7
Guatemala;GTM;29;23.8;20.8;18;22.4;18.1;14.6;11.8;3.7;;1;;1.9;;0.8;;53.2;50.7;46.4;44.6;5.2;3.8;2.7;2.1
Guinea;GIN;36.8;31.9;28.4;23.7;18;17.7;14;11.4;10.3;;7.2;;8.1;;6.4;;33.1;35.5;31.2;26.6;16.5;12.7;11.2;9.5
Guinea-Bissau;GNB;37.6;30.4;26.6;25.4;15.6;20.7;19.8;22.1;11.8;;4.8;;6;;5.1;*;33.4;29.6;27.8;28.3;17.4;12.6;8.8;6.9
Guyana;GUY;17;15.3;10.7;8.3;5.7;8.8;3.4;< 2.5;12.1;;6.9;;6.4;;6.5;;14.4;17.3;11.3;7.1;4.7;3.9;3.2;2.6
Haiti;HTI;40.2;37.2;29.9;35.7;48;42.2;38.7;54.2;5.5;;10.2;;3.7;;5;;30.4;25.3;22;21.6;10.3;8.3;6.8;5.5
Honduras;HND;21.7;15.9;13.1;12.5;21.1;14.9;13.7;14.8;1.3;;1.4;;1.3;*;1.1;*;36.4;27;20.3;17.9;3.7;2.6;2;1.6
Hungary;HUN;<5;<5;<5;<5;< 2.5;< 2.5;< 2.5;< 2.5;1;*;0.9;*;0.8;*;0.8;*;3.4;2.7;2.4;2.1;1;0.7;0.5;0.4
India;IND;38.1;34.6;29.3;25.8;18.1;15.3;11.6;12;17.9;;20;;20.8;;18.7;;50;45.8;37.7;32.9;9.2;6.5;4.1;2.8
Indonesia;IDN;25;27.8;18.2;14.6;18.1;16.5;6.6;6.3;5.5;;14.8;;10.5;;8.4;;39.8;38.7;29.8;22.6;5.2;3.6;2.6;2.1
Iran (Islamic Republic of);IRN;12.4;9.5;8.3;7.4;4.9;7.9;7.7;6.8;6.1;;4.6;*;4.3;;4.2;*;14.8;6.9;5.3;4.8;3.6;2.2;1.5;1.2
Iraq;IRQ;22.9;19.2;14.7;12.8;20.1;15.6;16.1;14.9;6.6;;5.8;;3;;3.9;*;28;25;15.2;9.4;4.4;3.7;2.8;2.3
Jamaica;JAM;8.3;8.3;8.3;8;7.2;8.5;7.6;7.7;3;;2.6;;3.3;;2.4;*;7.2;6.2;6.4;6.9;2.1;1.9;1.9;1.9
Jordan;JOR;10.2;7.6;7.7;10.3;9;6.6;8;14.3;2.5;;1.6;;1.8;*;2.3;;10.8;8.8;7.9;7.7;2.6;2;1.6;1.3
Kazakhstan;KAZ;12;10.2;5.7;<5;6.5;4.2;< 2.5;< 2.5;2.5;;4.9;;3.1;;2.6;*;16.1;14.3;8.1;4.4;4.2;2.5;1.1;1
Kenya;KEN;35.7;28.7;23.1;25.9;31.8;26.7;22.2;36.8;7.4;;6.9;;6.7;;4.5;;38.6;34.6;24.3;17.9;9.6;5.8;4.6;4
Korea (DPR);PRK;43.8;30.8;27.6;—;35.9;40.5;46;—;12.2;;5.2;;2.5;;6.5;*;52.5;33.8;21.4;16.6;10;3.1;2.1;1.8
Kuwait;KWT;<5;<5;<5;<5;< 2.5;< 2.5;< 2.5;< 2.5;2.1;;2.3;;2.3;;3.5;;3.7;4.8;4.9;4.5;1.3;1.1;0.9;0.9
Kyrgyzstan;KGZ;18.4;12.2;8.9;8;12.9;8.6;5.9;5.1;2.6;*;1.4;;2.4;;3;;28.3;19.6;13;11;5.1;3.4;2.1;1.7
Lao PDR;LAO;—;—;—;—;—;—;—;—;17.5;;7.4;;9.4;;10.7;;48.9;45.1;36.1;29.9;10.8;7.5;5.1;3.9
Latvia;LVA;5.3;<5;<5;<5;5.2;< 2.5;< 2.5;< 2.5;1.8;*;1.6;*;1.7;*;1.7;;3.3;2.4;1.9;1.7;1.4;0.9;0.5;0.3
Lebanon;LBN;11.1;8.3;7.1;8.5;7.4;4.7;5.7;8.7;2.9;*;2.5;*;2.2;*;1.3;;18.8;15.4;9.7;10.1;2;1.3;1.3;1.8
Lesotho;LSO;—;—;—;—;—;—;—;—;6;*;3.8;;2.4;;1.6;;42.1;40.5;34.6;35;10.9;10.9;7.2;5.9
Liberia;LBR;47.7;36.8;32.9;30;34.9;34.9;35.1;35.5;7.4;;4.3;;4.3;;3.4;;45;38.6;31.3;26.9;19.2;11.3;8.8;7.3
Libya;LBY;11.9;14.8;16.3;13.9;3.7;5.9;11;16.5;5.4;*;6.5;;10.2;;3.5;;19.8;29;20.4;9.2;2.8;1.9;1.3;3.1
Lithuania;LTU;5;<5;<5;<5;< 2.5;< 2.5;< 2.5;< 2.5;4.7;*;4.3;*;4.2;*;4;;2.9;2.2;1.7;1.6;1.1;0.7;0.5;0.3
Madagascar;MDG;42;36.6;35;35.8;33.4;30;35;39.5;8.5;*;8.2;*;6.4;;7.2;;56.1;52;44.6;38.4;10.5;7.5;6.6;6.5
Malawi;MWI;43.3;28.5;23.1;22;23.2;15.9;16.7;21.4;6.8;;1.9;;3.6;;2.8;;56.1;50.1;37.9;33.2;17.3;9.3;5.4;3.8
Malaysia;MYS;15.1;13.9;13.4;13.6;2.5;3.6;3.3;< 2.5;15.3;;13.2;;11.6;;11;;19.3;18;20;24.3;1;0.8;0.8;0.8
Maldives;MDV;—;—;—;—;—;—;—;—;13.4;;10.6;;9.1;;8.6;*;33.8;20.8;15.3;14.2;3.9;1.6;0.9;0.6
Mali;MLI;40.3;31.3;24.7;22.3;14.2;7.4;4.5;12.3;12.6;;12.1;;10.6;;5.4;;40;33.4;26.4;23.2;18.8;14.3;11.2;9.1
Mauritania;MRT;31.3;20.1;21.2;19.9;9.8;7.3;6.7;8.7;15.3;;8.1;;14.8;;13.6;;39.2;28.6;23.7;21.5;9.8;6;4.7;3.8
Mauritius;MUS;15.3;13.2;12.8;13.4;5.9;5.4;7.2;8.7;14.6;*;13.2;*;11.7;*;11.6;*;12.4;9.1;8;7.8;1.9;1.5;1.5;1.5
Mexico;MEX;9.8;9.2;7.1;6;2.8;3.9;3.7;2.7;2;;3.5;;2;;1;;20.3;15.3;12.6;13.1;2.8;2;1.6;1.2
Moldova (Republic of);MDA;18.1;15;5.8;5.1;24.3;22.9;2.5;< 2.5;3.4;*;3.2;*;3.5;*;3.4;*;12.9;8.4;5.7;4.2;3.1;1.8;1.5;1.5
Mongolia;MNG;29.5;17.3;8;5.1;30.1;21.9;8.1;< 2.5;7.1;;1.7;;1.2;;2.7;;29.7;18;9.5;7.1;6.3;3.1;1.8;1.4
Montenegro;MNE;—;5.8;<5;<5;—;< 2.5;< 2.5;< 2.5;—;;4.2;;2.9;*;2.9;*;—;8.7;8.2;8;—;0.8;0.4;0.3
Morocco;MAR;15.6;11.5;8.6;9.3;5.8;4.8;3.7;7;4;*;3.4;*;2.6;;2.7;*;25.3;18;14.6;13.7;5.2;3.5;2.2;1.7
Mozambique;MOZ;46.8;32.7;36.4;25.9;36.4;23.6;41.6;21.8;8.1;;4.2;;4.4;;3.8;;48.6;44.8;40.8;37;16.3;10.4;7.2;6.2
Myanmar;MMR;41.5;28.3;16.8;15.3;38.6;14;3.8;5.4;10.7;;7.9;;6.6;;6.3;*;45.9;35.5;28.6;24.5;8.9;10.1;4.9;3.9
Namibia;NAM;26.6;27.1;22;18.9;15.7;26.1;20.6;18.1;10;;7.6;;6.1;*;6.4;*;29.7;27.7;20.4;16.4;7.8;5.6;5.4;4.1
Nepal;NPL;37;28.5;20.6;14.8;23.7;13.1;5.9;5.3;11.3;;12.7;;11.7;;7;;55.9;46;34.2;26;7.9;5.3;3.6;2.6
Nicaragua;NIC;21.4;17.1;13.1;—;25.8;19.9;16.3;—;2.3;;1.5;;1.4;*;1.2;*;24;23.1;15.9;13.1;3.8;2.6;1.8;1.3
Niger;NER;52.7;39;33.3;33.9;23.1;15.2;12;12.9;16.2;;13.4;;10.4;;10.9;;52.1;47.5;44.7;48.3;22.8;14.7;12.5;11.5
Nigeria;NGA;38.2;32.3;29.9;32.8;8.7;9.6;10.8;19.9;13;*;9.8;*;9.1;;11.6;;41.8;39.3;35.4;33.8;18.2;14.1;12.5;10.5
North Macedonia;MKD;7.4;5.5;<5;<5;6.7;3;3.2;< 2.5;1.8;;2.4;*;2.3;*;2.1;*;8.6;7.7;4.6;3.8;1.6;1.2;1.1;0.3
Oman;OMN;16.2;10.2;12;10.2;16.3;5.5;7.2;5.9;7.8;;7.1;;9.3;;6.7;*;14.6;11.7;11.8;12.9;1.6;1.2;1.1;1
Pakistan;PAK;36.2;32.3;25.4;26;20.4;15.1;11.5;16.5;14.1;;11.8;*;7.1;;10;*;40.3;45.3;40.7;33.6;10.8;9.1;7.3;5.8
Panama;PAN;17.3;12.3;9.2;7.5;23.2;11.2;6.7;5.7;1.4;*;1.2;;1.1;*;1;*;18.3;21.6;17.7;14;2.6;2;1.7;1.3
Papua New Guinea;PNG;31.3;32.8;31.9;31;26.7;27.6;28.2;28.7;8.1;*;7.9;*;7.2;*;6.9;*;37.1;46.4;47.6;47.6;7.2;6.2;5;4
Paraguay;PRY;12.8;8.3;5.2;5.2;10.3;3.6;2.6;5.2;1.6;;1.5;*;1;;1.2;*;18.5;13.9;6.3;3.2;3.4;2.8;2.1;1.7
Peru;PER;21.1;12.9;8;7.2;20.4;11;6.2;6.9;1.4;;0.8;;0.8;;0.6;;34.4;24.1;14;10.6;3.8;2.2;1.7;1.6
Philippines;PHL;23.9;21.4;17.7;13.4;18.5;16.4;9.7;3;8;;6.6;;6.8;;5.4;;34.5;33.4;30.4;27.7;3.7;3.1;2.8;2.7
Qatar;QAT;—;—;—;—;—;—;—;—;1.7;*;1.4;*;1.3;*;1.6;;9.4;7;6.2;5.4;1.2;1;0.8;0.6
Romania;ROU;8.1;6;<5;<5;< 2.5;< 2.5;< 2.5;< 2.5;4.3;;3.4;*;3.4;*;3.3;*;13.5;10.6;8;7;2.2;1.4;0.9;0.7
Russian Federation;RUS;10.6;6;5.5;<5;4.2;< 2.5;< 2.5;< 2.5;4.9;;3;*;3.1;*;2.9;*;17.8;11.7;11.1;10.2;1.9;1.1;0.8;0.4
Rwanda;RWA;49.7;36.4;28.2;21.7;37.6;36.5;33.7;24.4;8.7;;5.1;;2.2;;1.1;;48.7;46.8;35.8;29.8;18.5;7.6;4.6;4
Saudi Arabia;SAU;10.1;8.5;6.6;5.9;4.6;3.4;< 2.5;< 2.5;6.2;*;5.1;*;3.4;;3.9;;11;12.5;12.2;11.1;2.2;1.4;0.9;0.6
Senegal;SEN;32.5;20.9;16.8;15.6;21.1;10.9;8.9;5.1;10;;8.9;*;7.1;;10.2;;24.6;19.7;18.1;17.2;12.9;7;5.1;3.9
Serbia;SRB;—;5.3;<5;<5;—;< 2.5;< 2.5;< 2.5;—;;4;;3.9;;3.3;*;—;7.4;5.6;4.6;—;0.8;0.6;0.5
Sierra Leone;SLE;57.8;41.1;32.4;28.5;50;28.1;24.5;24.1;11.6;;7.5;;5.9;;6.3;;38.7;36.7;30.2;25.2;22.4;17.3;12.3;9.4
Slovakia;SVK;5.3;<5;<5;<5;6.2;5.1;5.3;3.1;1.1;*;1;*;1;*;1;*;4.9;3.8;3.5;3.1;1;0.7;0.6;0.6
Solomon Islands;SLB;18.9;18.8;21.8;20.4;11.2;14.1;18;20;7.1;*;4.3;;8.5;;5.4;*;31.1;33.2;30.5;29.8;3.1;2.8;2.5;2.1
Somalia;SOM;64.3;60.5;49.4;42.6;70;69.8;60.2;53.2;19.3;;14.3;;9.9;*;8.8;*;33.6;32.2;27.1;23.9;17.2;16.6;13;10.4
South Africa;ZAF;17.1;16.4;12.9;15.1;3.6;3.5;6.4;10;4.5;;5.4;;2.5;;3.3;*;26.6;24.5;22.2;24.4;7.1;6.4;3.7;3.5
South Sudan;SSD;—;—;—;37.5;—;—;—;22.3;—;;—;;—;;21;*;39.1;33.7;30.5;30;18.3;12.1;26.4;9.9
Sri Lanka;LKA;22.1;17.6;14.1;11.2;16.8;11.1;4.1;7.4;15.9;;13.5;;15.1;;9.3;;19.8;18.2;13.3;10.1;1.6;1.2;0.8;0.6
Sudan;SDN;—;—;27.5;—;—;—;9.8;—;—;;—;;16.3;;17.7;*;38.3;37.3;35.3;35.4;10.3;7.9;6.3;5
Suriname;SUR;14.9;10.4;10.8;10.4;11.5;7.3;9.3;9.7;7;;4.9;;5.5;;5.2;*;13.6;9.8;8.2;8;3.1;2.4;2;1.6
Syrian Arab Republic;SYR;14.8;17;23.7;30.6;7.5;5.6;14.2;39;4.9;;10.9;;14.7;*;12.2;*;28.3;28.6;27.4;23.5;2.3;1.9;3.2;2.1
Tajikistan;TJK;39.3;26.9;15.3;12.8;40;29.3;13.9;8.4;9.4;;5.6;;3.5;;6.4;;41.3;32;19.8;13.1;8;4.2;2.9;2.7
Tanzania (United Rep. of);TZA;40.3;29.4;24.7;21.1;32.8;25.1;21.9;20.2;5.6;;2.9;;4.5;;3.3;;47.6;41.8;34.1;29.9;12.8;7.7;5.2;3.9
Thailand;THA;17.5;12.3;10.4;9.7;17.3;10.6;7.9;4.6;8;*;4.7;;5.4;;7.2;;16.1;15.9;12.8;12.3;2.2;1.5;1.2;0.9
Timor-Leste;TLS;—;42.2;30.5;28;54.9;23.2;15.4;18.7;13.7;;21.3;;12.2;;8.3;;55;56.3;49.1;45.4;11.1;7.7;5.9;5
Togo;TGO;37.6;27.7;24.7;17.3;28.8;20.7;20.6;9.1;12;;6;;5.7;;4.4;*;31.6;28.5;25.1;23;12;9.4;7.3;5.8
Trinidad & Tobago;TTO;11.2;11;9.7;11;10.3;9.3;7;11.2;5.2;;5.1;*;4.8;*;4.9;*;5.3;7.9;8.4;7.8;2.9;2.6;2.2;1.9
Tunisia;TUN;9.1;7.6;6.1;6.2;4;3.6;2.8;3;2.9;;3.4;;2.1;;2.8;*;12.5;10;8.7;8.9;2.9;1.9;1.8;1.3
Türkiye;TUR;14.8;6.9;<5;<5;12.9;3.2;< 2.5;< 2.5;3;;1;;1.9;;1.3;*;17.4;13;7.2;5.5;3.7;2.1;1.3;1.3
Turkmenistan;TKM;19.9;14.3;10.2;9.7;6;4.6;3.4;4.3;8;;7.2;;4.2;;4.6;*;26.5;16.7;9.7;6.5;7;4.6;4.3;4
Uganda;UGA;36;28.6;29.1;20.2;21.2;19.8;35.4;22;5;;5.3;;4.6;;3.2;;44;38.3;28.7;23.5;14.6;8.7;5.2;3.9
Ukraine;UKR;12.8;10;9.7;10.4;2.7;< 2.5;< 2.5;6.9;8.2;;6.8;*;7.1;*;7.1;*;22.6;19.2;16.5;11.7;1.8;1.3;0.9;0.8
United Arab Emirates;ARE;<5;<5;<5;<5;< 2.5;5.3;3.5;< 2.5;1.1;*;1;*;1;*;1;*;1.6;1.3;1.6;1.4;1.1;0.9;0.7;0.5
Uruguay;URY;7.9;<5;<5;<5;3.6;< 2.5;< 2.5;< 2.5;1.6;;1.4;;0.8;;1.3;*;16.3;11.1;7.7;6.5;1.7;1.2;0.8;0.7
Uzbekistan;UZB;25.7;12.7;5.7;<5;19;6.2;< 2.5;< 2.5;9;;4.4;;1.8;;2.4;;29;17.8;10;6.7;6.1;3.6;1.8;1.3
Venezuela (Boliv. Rep. of);VEN;14.3;8.7;14.2;9.6;14.1;2.6;17.4;5.9;3.9;;4.5;;3.5;*;3.6;*;17.6;14.7;11.3;11.7;2.2;1.7;2.4;2.4
Viet Nam;VNM;25.7;19.7;14.1;11.1;19.5;12.5;7.7;5.3;9;;9.4;;6.1;;4.4;;41.1;29.6;22.8;19.2;3;2.4;2.2;2
Yemen;YEM;—;—;—;—;—;—;—;—;16.2;*;13.8;;12.8;*;16.8;;55.3;52.2;46.6;47.4;9.3;6;4.8;3.9
Zambia;ZMB;51.2;41.4;31.7;29.6;50.3;45.6;33.4;37.2;5.9;;5.6;;6.2;;3.8;*;52.1;46.4;36.5;32.3;15.3;8.6;5.9;4.5
Zimbabwe;ZWE;35.5;29.6;27.2;20.9;32.8;27.1;32.8;19.7;8.3;;2.4;;3.3;;5.1;;33.1;33.9;26.3;23.7;9.8;9.3;5.7;4.4
